Year,WEEK,AWAYCITY,HOMECITY,Home_Team,Total Yards_H,TD Pass_H,TD Rush_H,FGA_H,FGM_H,EPA_H,EPM_H,2PCA_H,2PCM_H,SFTY_H,Rush_Yards_H,Pass_Yards_H,RA_H,PA_H,Rush_YpA_H,Pass_YpA_H,INT_H,SACK_H,3rd_PCT_H,4th_PCT_H,COMP_H,COMP_PCT_H,FG_PCT_H,PEN_H,PEN_YDS_H,TO_H,HOME_PTS,Pass/Rush_Ratio_H,Away_Team,Total Yards_A,TD Pass_A,TD Rush_A,FGA_A,FGM_A,EPA_A,EPM_A,2PCA_A,2PCM_A,SFTY_A,Rush_Yards_A,Pass_Yards_A,RA_A,PA_A,Rush_YpA_A,Pass_YpA_A,INT_A,SACK_A,3rd_PCT_A,4th_PCT_A,COMP_A,COMP_PCT_A,FG_PCT_A,PEN_A,PEN_YDS_A,TO_A,AWAY_PTS,Pass/Rush_Ratio_A,conv_adv,elo_H,elo_A
2021,9,CHI,PIT,PIT,330.4285714,1.142857143,0.714285714,1.857142857,1.714285714,1.714285714,1.714285714,0,NA,NA,86,244.4285714,23.28571429,38.57142857,3.7,6.337037037,0.285714286,2.714285714,0.43,0,25,0.648148148,0.923076923,6.571428571,49.14285714,1,18.85714286,1.656441718,CHI,264,0.5,1,1.375,1.375,1.625,1.5,0,NA,NA,136.625,127.375,30,26,4.6,4.899038462,0.5,2.625,0.31,0.2,16.375,0.629807692,1,5.75,49.5,1.375,15.375,0.866666667,1.387096774,,
2021,10,BAL,MIA,MIA,301.875,1.375,0.5,1.5,1,1.75,1.75,0.25,0.25,NA,78.625,223.25,20.875,39.5,3.8,5.651898734,0.375,1.5,0.42,0.5,25.875,0.655063291,0.666666667,6.75,50.625,1.625,17.25,1.892215569,BAL,417.5714286,1.428571429,1.428571429,2.142857143,2,2.142857143,2.142857143,0.714285714,0.285714286,NA,149.4285714,268.1428571,30.57142857,33.71428571,4.9,7.953389831,0.714285714,2.142857143,0.37,0.5,21.57142857,0.639830508,0.933333333,5.714285714,55,1.142857143,26.71428571,1.102803738,1.135135135,,
2021,10,ATL,DAL,DAL,454.8571429,2.571428571,0.857142857,2.571428571,2,3.285714286,3,0.428571429,NA,NA,152,302.8571429,31.14285714,36.85714286,4.9,8.217054264,1.571428571,1.714285714,0.47,0.5,26.28571429,0.713178295,0.777777778,8.285714286,69.57142857,1.285714286,32.14285714,1.183486239,ATL,334,1.857142857,0.428571429,1.857142857,1.714285714,2,2,0.285714286,0.142857143,NA,87,247,23.57142857,39.14285714,3.7,6.310218978,0.428571429,1.428571429,0.46,0.38,26.57142857,0.678832117,0.923076923,5.571428571,46,1.428571429,21.14285714,1.660606061,1.02173913,,
2021,10,NO,TEN,TEN,377.125,1.375,1.625,2.25,1.875,3,2.75,0.25,0.25,NA,147.625,229.5,32.5,33.125,4.5,6.928301887,0.875,2.25,0.42,0.6,21.75,0.656603774,0.833333333,6.875,68.875,1.375,28.375,1.019230769,NO,305.8571429,2.142857143,0.857142857,1.285714286,0.857142857,3.285714286,2.857142857,0,NA,NA,125,180.8571429,31.28571429,27.71428571,4,6.525773196,1.571428571,2.285714286,0.38,0.63,16.28571429,0.587628866,0.666666667,5.571428571,49.42857143,0.857142857,25.14285714,0.885844749,1.105263158,,
2021,10,JAX,IND,IND,350.875,1.75,1,2.125,1.75,2.375,2.25,0.5,0.125,NA,122,228.875,26.5,34.375,4.6,6.658181818,1.125,2.125,0.39,0.6,21.25,0.618181818,0.823529412,4.875,46,1.25,25,1.297169811,JAX,349.2857143,1.142857143,1,1,0.428571429,2.142857143,1.714285714,0.285714286,NA,NA,116.1428571,233.1428571,22.85714286,38.57142857,5.1,6.044444444,0.285714286,1.571428571,0.31,0.64,23,0.596296296,0.428571429,6.714285714,54.57142857,1.857142857,17.57142857,1.6875,1.258064516,,
2021,10,CLE,NE,NE,354.625,1.25,1.25,2.625,2.5,2.375,2,0.25,0.25,NA,101.25,253.375,25.875,36.125,3.9,7.01384083,1.25,2.25,0.44,0.75,24.75,0.685121107,0.952380952,5.75,55.5,1.5,25.75,1.396135266,CLE,382.5,0.875,1.75,1.5,1.375,2.25,2.25,0.375,0.375,NA,161.125,221.375,31.25,30,5.2,7.379166667,0.375,2.75,0.42,0.44,19.75,0.658333333,0.916666667,6.75,64.75,1,22.875,0.96,1.047619048,,
2021,10,BUF,NYJ,NYJ,306.4285714,1.142857143,0.714285714,1.571428571,1.142857143,1,0.857142857,0.714285714,0.428571429,NA,75.57142857,230.8571429,21.14285714,37.42857143,3.6,6.167938931,0.142857143,2.428571429,0.41,0.22,23.28571429,0.622137405,0.727272727,6.857142857,56.42857143,2.142857143,16.28571429,1.77027027,BUF,402.8571429,2.428571429,1.142857143,2.428571429,2.285714286,3.285714286,3.285714286,0.285714286,0.142857143,NA,126.5714286,276.2857143,28.85714286,39.28571429,4.4,7.032727273,1.571428571,2.285714286,0.5,0.38,25.71428571,0.654545455,0.941176471,7,62.42857143,0.714285714,32.71428571,1.361386139,0.82,,
2021,10,DET,PIT,PIT,330.4285714,1.142857143,0.714285714,1.857142857,1.714285714,1.714285714,1.714285714,0,NA,NA,86,244.4285714,23.28571429,38.57142857,3.7,6.337037037,0.285714286,2.714285714,0.43,0,25,0.648148148,0.923076923,6.571428571,49.14285714,1,18.85714286,1.656441718,DET,321.125,1,0.75,1.625,1.375,1.125,1.125,0.625,0.5,NA,93.125,228,22.875,38.75,4.1,5.883870968,0.5,1.75,0.34,0.38,25.875,0.667741935,0.846153846,6.625,52.25,1.375,16.75,1.693989071,1.264705882,,
2021,10,TB,WAS,WAS,348.625,1.375,0.625,2.375,1.75,1.75,1.5,0.375,NA,NA,118.125,230.5,25.875,35,4.6,6.585714286,0.5,2.375,0.35,0.5,22.25,0.635714286,0.736842105,5.875,52.5,1.625,19.5,1.352657005,TB,423.125,3.125,0.875,1.5,1,4.125,4,0.125,NA,NA,95.625,327.5,22.375,43.75,4.3,7.485714286,1.25,2.125,0.47,0.43,29.5,0.674285714,0.666666667,7.375,72.5,1.25,32.5,1.955307263,0.744680851,,
2021,10,CAR,ARI,ARI,393.625,2.125,1.5,1.875,1.5,3.75,3.75,0,NA,NA,128.75,264.875,30.625,32,4.2,8.27734375,0.75,2.5,0.44,1,23.25,0.7265625,0.8,6.5,55,1.125,30.75,1.044897959,CAR,328.5,0.875,1.125,2.125,1.875,2,1.75,0.125,0.125,0.125,114.5,214,29.25,36,3.9,5.944444444,0.75,2.625,0.32,0.64,21.125,0.586805556,0.882352941,6.875,49.125,1.5,20.625,1.230769231,1.375,,
