Year,Home_Team,Away_Team,elo_H,elo_A
2010,NO,MIN,1635.077,1584.199
2010,HOU,IND,1546.211,1608.682
2010,LAR,ARI,1316.472,1533.868
2010,SEA,SF,1401.591,1498.466
2010,WAS,DAL,1430.5,1592.462
2010,TB,CLE,1428.762,1436.429
2010,BUF,MIA,1476.435,1482.581
2010,CHI,DET,1476.273,1310.527
2010,JAX,DEN,1441.55,1467.711
2010,NE,CIN,1566.741,1499.37
2010,NYG,CAR,1499.755,1565.042
2010,TEN,OAK,1535.313,1383.262
2010,PHI,GB,1577.744,1571.948
2010,PIT,ATL,1562.39,1538.437
2010,NYJ,BAL,1586.636,1580.034
2010,KC,LAC,1400.114,1614.113
2010,DEN,SEA,1449.552,1437.675
2010,DET,PHI,1303.734,1551.939
2010,GB,BUF,1597.752,1454.936
2010,NYJ,NE,1578.015,1582.998
2010,TEN,PIT,1548.527,1576.407
2010,WAS,HOU,1456.394,1569.988
2010,MIN,MIA,1572.653,1504.08
2010,LAC,JAX,1582.788,1459.709
2010,OAK,LAR,1370.048,1307.629
2010,CLE,KC,1425.127,1431.439
2010,DAL,CHI,1566.568,1483.066
2010,IND,NYG,1584.905,1526.171
2010,ATL,ARI,1524.421,1542.711
2010,CAR,TB,1538.626,1440.063
2010,CIN,BAL,1483.113,1588.655
2010,SF,NO,1462.382,1646.623
2010,HOU,DAL,1581.667,1535.278
2010,LAR,WAS,1300.891,1444.715
2010,SEA,LAC,1415.828,1597.976
2010,TB,PIT,1481.084,1601.135
2010,BAL,CLE,1568.281,1411.951
2010,NYG,TEN,1506.112,1523.799
2010,NE,BUF,1561.145,1440.801
2010,NO,ATL,1655.429,1554.582
2010,MIN,DET,1549.238,1297.121
2010,MIA,NYJ,1527.496,1599.867
2010,KC,SF,1444.615,1453.576
2010,JAX,PHI,1444.521,1558.551
2010,DEN,IND,1471.4,1604.963
2010,ARI,OAK,1512.549,1376.786
2010,CAR,CIN,1497.605,1503.487
2010,CHI,GB,1514.356,1611.887
2010,LAR,SEA,1335.243,1444.929
2010,LAC,ARI,1568.875,1515.591
2010,PIT,BAL,1627.926,1576.539
2010,PHI,WAS,1585.954,1410.363
2010,TEN,DEN,1558.558,1450.254
2010,BUF,NYJ,1430.426,1621.302
2010,NYG,CHI,1471.353,1529.741
2010,NO,CAR,1633.777,1465.915
2010,JAX,IND,1417.119,1626.109
2010,OAK,HOU,1373.744,1544.298
2010,GB,DET,1596.503,1290.552
2010,CLE,CIN,1403.692,1535.177
2010,ATL,SF,1576.234,1428.253
2010,MIA,NE,1506.062,1571.521
2010,OAK,LAC,1359.751,1590.98
2010,IND,KC,1605.457,1469.937
2010,BUF,JAX,1410.551,1437.771
2010,CAR,CHI,1461.794,1503.255
2010,CIN,TB,1518.18,1454.293
2010,CLE,ATL,1420.69,1580.779
2010,DET,LAR,1288.565,1368.52
2010,ARI,NO,1493.485,1637.898
2010,DAL,TEN,1572.647,1527.694
2010,HOU,NYG,1558.291,1497.839
2010,BAL,DEN,1595.904,1481.119
2010,SF,PHI,1423.708,1553.775
2010,WAS,GB,1442.543,1598.49
2010,NYJ,MIN,1641.176,1555.807
2010,LAR,LAC,1330.047,1556.635
2010,TB,NO,1474.244,1607.432
2010,NYG,DET,1543.79,1327.038
2010,CHI,SEA,1534.448,1411.653
2010,DEN,NYJ,1467.994,1653.943
2010,GB,MIA,1580.328,1472.791
2010,HOU,KC,1512.339,1459.402
2010,MIN,DAL,1543.04,1544.054
2010,NE,BAL,1604.792,1609.029
2010,PHI,ATL,1564.747,1597.626
2010,PIT,CLE,1608.561,1403.843
2010,SF,OAK,1412.736,1394.096
2010,WAS,IND,1460.705,1615.992
2010,JAX,TEN,1464.811,1556.287
2010,BAL,BUF,1597.874,1383.511
2010,ATL,CIN,1573.396,1498.229
2010,TEN,PHI,1586.708,1588.977
2010,SEA,ARI,1434.287,1523.951
2010,NO,CLE,1632.91,1394.678
2010,MIA,PIT,1494.745,1617.725
2010,KC,JAX,1449.121,1434.39
2010,GB,MIN,1558.374,1554.058
2010,TB,LAR,1448.766,1351.505
2010,DEN,OAK,1457.844,1377.928
2010,CHI,WAS,1511.813,1450.773
2010,CAR,SF,1430.601,1428.904
2010,LAC,NE,1535.177,1615.947
2010,DAL,NYG,1533.036,1550.216
2010,ARI,TB,1496.173,1452.409
2010,LAC,TEN,1522.037,1610.223
2010,LAR,CAR,1347.863,1441.505
2010,DEN,SF,1400.69,1418.001
2010,OAK,SEA,1435.083,1462.066
2010,NYJ,GB,1664.092,1570.905
2010,NE,MIN,1629.086,1541.528
2010,NO,PIT,1580.789,1623.362
2010,KC,BUF,1472.555,1379.406
2010,DET,WAS,1320.612,1470.591
2010,CIN,MIA,1486.165,1489.108
2010,DAL,JAX,1510.424,1410.956
2010,IND,HOU,1625.924,1522.62
2010,PHI,IND,1565.462,1639.413
2010,HOU,LAC,1509.131,1545.723
2010,GB,DAL,1606.29,1464.569
2010,DET,NYJ,1353.691,1628.707
2010,CLE,NE,1446.799,1642.252
2010,CAR,NO,1415.211,1602.996
2010,BUF,CHI,1371.984,1491.995
2010,ATL,TB,1585.46,1471.415
2010,SEA,NYG,1431.989,1572.828
2010,BAL,MIA,1601.979,1515.714
2010,OAK,KC,1465.16,1479.977
2010,MIN,ARI,1528.363,1477.167
2010,CIN,PIT,1459.559,1601.155
2010,ATL,BAL,1594.924,1617.625
2010,TB,CAR,1461.951,1393.526
2010,ARI,SEA,1468.246,1405.005
2010,DEN,KC,1379.974,1468.367
2010,PIT,NE,1615.88,1598.276
2010,NYG,DAL,1599.811,1448.945
2010,JAX,HOU,1456.811,1487.809
2010,IND,CIN,1628.098,1444.834
2010,MIA,TEN,1500.068,1586.537
2010,CHI,MIN,1503.396,1537.283
2010,CLE,NYJ,1490.775,1634.526
2010,BUF,DET,1360.583,1347.872
2010,SF,LAR,1438.716,1374.157
2010,WAS,PHI,1437.512,1576.778
2010,MIA,CHI,1527.569,1527.714
2010,MIN,GB,1512.965,1621.913
2010,SF,TB,1447.14,1478.519
2010,PHI,NYG,1603.244,1554.396
2010,LAR,ATL,1365.732,1610.374
2010,CAR,BAL,1376.958,1602.175
2010,DAL,DET,1494.361,1339.596
2010,JAX,CLE,1475.291,1476.175
2010,KC,ARI,1435.526,1425.935
2010,NO,SEA,1624.68,1447.316
2010,NE,IND,1632.095,1634.856
2010,TEN,WAS,1559.036,1411.046
2010,NYJ,HOU,1649.126,1469.329
2010,PIT,OAK,1582.061,1476.77
2010,CIN,BUF,1438.076,1368.86
2010,LAC,DEN,1567.045,1412.815
2010,DAL,NO,1505.7,1634.6
2010,NYJ,CIN,1654.025,1395.174
2010,DET,NE,1328.257,1643.187
2010,OAK,MIA,1459.061,1492.989
2010,NYG,JAX,1538.811,1488.076
2010,HOU,TEN,1464.43,1535.303
2010,WAS,MIN,1434.779,1484.106
2010,SEA,KC,1437.397,1457.983
2010,BAL,TB,1619.247,1512.937
2010,DEN,LAR,1400.412,1351.715
2010,IND,LAC,1623.764,1579.448
2010,ATL,GB,1624.391,1650.773
2010,BUF,PIT,1411.762,1599.77
2010,CHI,PHI,1562.294,1618.829
2010,CLE,CAR,1463.39,1359.887
2010,ARI,SF,1403.478,1412.722
2010,PHI,HOU,1601.415,1495.472
2010,TEN,JAX,1504.26,1477.699
2010,BAL,PIT,1629.729,1608.435
2010,NYG,WAS,1549.188,1417.839
2010,MIA,CLE,1524.291,1466.93
2010,GB,SF,1638.657,1449.482
2010,DET,CHI,1317.612,1579.708
2010,KC,DEN,1491.855,1381.173
2010,ARI,LAR,1366.718,1370.953
2010,IND,DAL,1580.718,1494.678
2010,CIN,NO,1388.545,1645.621
2010,MIN,BUF,1501.046,1403.097
2010,LAC,OAK,1622.494,1427.76
2010,SEA,CAR,1403.525,1356.347
2010,TB,ATL,1502.455,1636.507
2010,NE,NYJ,1653.832,1660.654
2010,TEN,IND,1471.653,1559.741
2010,NYJ,MIA,1630.09,1504.645
2010,NO,LAR,1652.983,1402.792
2010,WAS,TB,1403.411,1489.911
2010,PIT,CIN,1626.376,1381.183
2010,DET,GB,1310.424,1648.581
2010,JAX,OAK,1510.306,1479.119
2010,BUF,CLE,1386.236,1486.575
2010,CAR,ATL,1337.429,1649.05
2010,CHI,NE,1586.896,1684.396
2010,ARI,DEN,1334.879,1373.223
2010,DAL,PHI,1515.655,1613.523
2010,SF,SEA,1439.559,1422.443
2010,LAC,KC,1571.135,1499.805
2010,HOU,BAL,1483.364,1611.788
2010,NYG,MIN,1563.616,1517.907
2010,LAC,SF,1591.584,1461.737
2010,TB,DET,1496.351,1340.859
2010,CAR,ARI,1326.605,1366.209
2010,CIN,CLE,1374.051,1463.299
2010,IND,JAX,1569.892,1524.851
2010,DAL,WAS,1503.284,1396.971
2010,MIA,BUF,1531.059,1409.512
2010,NE,GB,1714.786,1618.146
2010,NYG,PHI,1588.688,1625.894
2010,TEN,HOU,1461.502,1467.865
2010,PIT,NYJ,1633.508,1603.676
2010,OAK,DEN,1464.575,1341.892
2010,BAL,NO,1627.287,1660.2
2010,SEA,ATL,1400.265,1659.874
2010,LAR,KC,1395.575,1479.357
2010,MIN,CHI,1492.835,1556.505
2010,PIT,CAR,1609.796,1345.662
2010,ARI,DAL,1347.152,1510.273
2010,KC,TEN,1504.758,1483.47
2010,JAX,WAS,1509.014,1389.983
2010,GB,NYG,1609.665,1565.946
2010,DEN,HOU,1328.66,1445.898
2010,CLE,BAL,1451.417,1644.7
2010,CHI,NYJ,1589.61,1627.388
2010,BUF,NE,1432.092,1723.267
2010,TB,SEA,1472.297,1387.46
2010,LAR,SF,1370.174,1446.694
2010,CIN,LAC,1385.934,1606.626
2010,OAK,IND,1477.807,1585.728
2010,MIA,DET,1508.48,1364.913
2010,ATL,NO,1672.679,1642.787
2010,PHI,MIN,1648.635,1459.731
2010,CLE,PIT,1436.764,1617.116
2010,SEA,LAR,1369.798,1392.994
2010,HOU,JAX,1437.738,1486.546
2010,GB,CHI,1632.027,1604.265
2010,DET,MIN,1400.228,1503.741
2010,IND,TEN,1601.142,1461.303
2010,ATL,CAR,1654.33,1338.342
2010,DEN,LAC,1336.82,1565.233
2010,KC,OAK,1526.924,1462.392
2010,NO,TB,1661.136,1489.96
2010,NE,MIA,1736.707,1473.165
